channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-161060.0156,-81081.49219,-108741.5938,-154215.125,-187500.0156,-148185.0625,-158183.9844,-187500.0156
-161071.1563,-81095.79688,-108742.2188,-154368.7969,-187500.0156,-148205.5,-158282.0156,-187500.0156
-161056.0938,-81085.64844,-108754.0469,-154166.2344,-187500.0156,-148184.4844,-158163.6719,-187500.0156
-161047.2656,-81071.07031,-108757.1953,-153979.7344,-187500.0156,-148162.1406,-158022.8281,-187500.0156
-161059.4688,-81077.19531,-108744.4531,-154151.2344,-187500.0156,-148182.5938,-158135.9375,-187500.0156
-161070.5781,-81093.67188,-108742.8906,-154361.8125,-187500.0156,-148210.3906,-158287.25,-187500.0156
-161060.0469,-81085.67188,-108754.2422,-154219.9063,-187500.0156,-148193.6719,-158194.875,-187500.0156
-161049.4844,-81066.82813,-108754.6953,-153994.9375,-187500.0156,-148163.4375,-158024.2344,-187500.0156
-161060.375,-81068.85938,-108743.4063,-154105.75,-187500.0156,-148174.7031,-158095.6094,-187500.0156
-161074.8906,-81086.29688,-108740.2734,-154351.0625,-187500.0156,-148204.5313,-158284.5938,-187500.0156
-161066.875,-81085.55469,-108751.1172,-154270.6875,-187500.0156,-148194.6563,-158242.7031,-187500.0156
-161050.2656,-81069.46094,-108760.6172,-154019.2031,-187500.0156,-148162.8281,-158049.9219,-187500.0156
-161054.75,-81068.8125,-108752.4375,-154064.5781,-187500.0156,-148164.375,-158068.2031,-187500.0156
-161071.9063,-81088.30469,-108744.6797,-154326.375,-187500.0156,-148198.5469,-158262.2656,-187500.0156
-161069.7813,-81092.89063,-108749.375,-154315.2813,-187500.0156,-148199.4688,-158273.7813,-187500.0156
-161054.3594,-81074.67188,-108756.5234,-154052.7344,-187500.0156,-148169.3281,-158073.6875,-187500.0156
-161054.2188,-81067.5625,-108751.7422,-154028.9844,-187500.0156,-148166.6719,-158041.5,-187500.0156
-161071.2344,-81083.5,-108741.5469,-154291.2031,-187500.0156,-148200.7813,-158240.0469,-187500.0156
